,Date,USD
1182,2023-12-27, 298.126
1183,2023-12-28, 298.127
1184,2023-12-29, 298.082
1185,2023-12-30, 298.039
1186,2023-12-31, 297.937
1187,2024-01-01, 297.932
1188,2024-01-02, 298.035
1189,2024-01-03, 298.357
1190,2024-01-04, 298.313
1191,2024-01-05, 298.238
1192,2024-01-06, 298.310
1193,2024-01-07, 298.314
1194,2024-01-08, 298.484
1195,2024-01-09, 298.501
1196,2024-01-10, 298.450
1197,2024-01-11, 298.486
1198,2024-01-12, 298.469
1199,2024-01-13, 298.377
1200,2024-01-14, 298.519
1201,2024-01-15, 298.642
1202,2024-01-16, 298.853
1203,2024-01-17, 298.948
1204,2024-01-18, 299.034
1205,2024-01-19, 299.082
1206,2024-01-20, 299.079
1207,2024-01-21, 299.140
1208,2024-01-22, 299.202
1209,2024-01-23, 299.261
1210,2024-01-24, 299.261
1211,2024-01-25, 299.288
1212,2024-01-26, 299.288
1213,2024-01-27, 299.322
1214,2024-01-28, 299.332
1215,2024-01-29, 299.419
1216,2024-01-30, 299.586
1217,2024-01-31, 299.537
1218,2024-02-01, 299.788
1219,2024-02-02, 299.898
1220,2024-02-03, 299.857
1221,2024-02-04, 299.826
1222,2024-02-05, 299.871
1223,2024-02-06, 299.925
1224,2024-02-07, 300.048
1225,2024-02-08, 300.122
1226,2024-02-09, 300.088
1227,2024-02-10, 300.006
1228,2024-02-11, 299.971
1229,2024-02-12, 299.881
1230,2024-02-13, 299.913
1231,2024-02-14, 300.098
1232,2024-02-15, 300.258
1233,2024-02-16, 300.369
1234,2024-02-17, 300.297
1235,2024-02-18, 300.413
1236,2024-02-19, 300.533
1237,2024-02-20, 300.628
1238,2024-02-21, 300.735
1239,2024-02-22, 300.824
1240,2024-02-23, 300.798
1241,2024-02-24, 300.831
1242,2024-02-25, 300.741
1243,2024-02-26, 300.748
1244,2024-02-27, 300.837
1245,2024-02-28, 301.126
1246,2024-02-29, 301.170
1247,2024-03-01, 301.169
1248,2024-03-02, 301.363
1249,2024-03-03, 301.615
1250,2024-03-04, 301.803
1251,2024-03-05, 301.778
1252,2024-03-06, 301.837
1253,2024-03-07, 301.821
1254,2024-03-08, 301.906
1255,2024-03-09, 302.025
1256,2024-03-10, 301.858
