Fund Name,1Yr,3Yr,5Yr,10Yr,15Yr,20Yr
Mirae Asset Equity Savings Fund - Direct Plan,12.3,0.0,0.0,0.0,0.0,0.0
Mirae Asset Equity Savings Fund - Regular Plan,11.16,5.74,5.92,0.0,0.0,0.0
Mirae Asset Savings Fund - Direct Plan,7.03,4.64,4.81,6.03,6.31,6.76
Mirae Asset Savings Fund - Regular Savings Plan,6.4,8.8,9.06,0.0,0.0,0.0
Nippon India Equity Savings Fund,-15.76,7.48,7.62,0.0,0.0,0.0
Nippon India Equity Savings Fund - Direct Plan,-15.08,4.66,5.11,0.0,0.0,0.0
Nippon India Hybrid Bond Fund,-11.59,3.84,4.15,7.11,8.06,10.14
Nippon India Hybrid Bond Fund - Direct Plan,-11.01,0.0,0.0,0.0,0.0,0.0
Nippon India Low Duration Fund,7.81,0.0,0.0,0.0,0.0,0.0
Nippon India Low Duration Fund - Direct Plan,8.46,2.96,4.37,0.0,0.0,0.0
Nippon India Retirement Fund - Income Generation Scheme,7.12,2.74,4.16,7.94,8.67,9.72
Nippon India Retirement Fund - Income Generation Scheme - Direct Plan,8.22,0.0,0.0,0.0,0.0,0.0
PGIM India Equity Savings Fund,4.07,0.0,0.0,0.0,0.0,0.0
PGIM India Equity Savings Fund - Direct Plan,5.23,0.0,0.0,0.0,0.0,0.0
PGIM India Low Duration Fund,9.74,0.0,0.0,0.0,0.0,0.0
PGIM India Low Duration Fund - Direct Plan,10.57,3.68,5.11,0.0,0.0,0.0
Principal Equity Savings Fund,8.49,2.99,4.39,7.23,7.98,0.0
Principal Equity Savings Fund - Direct Plan,9.74,3.08,4.58,0.0,0.0,0.0
Principal Low Duration Fund,5.57,2.44,3.93,6.87,7.6,0.0
